category_slug,name,emoji,retail_price,quantity,variant,default_line_text,tags
telefon,Samsung Galaxy S25 Ultra 1 TB,📱,80000,,,,
telefon,Samsung Galaxy A56 5G 256 GB,📱,27000,,,Anneme akıllı telefon,anne;anneler-gunu
telefon,Xiaomi Redmi 15C,📱,11200,,,Babama yeni telefon,baba;babalar-gunu
telefon,Xiaomi Redmi Note 15 Pro 256 GB,📱,22000,,,,
telefon,Xiaomi Redmi Note 15 Pro 512 GB,📱,25000,,,,
oyun-konsolu,PlayStation 5 Slim Digital,🎮,36000,,,Çocuklara PlayStation,cocuk;yilbasi;dogum-gunu
oyun-konsolu,PlayStation 5 DualSense Kol,🎮,4500,,,İkinci kol — beraber oynamak için,cocuk;kendim
oyun-konsolu,PlayStation 4 Pro,🎮,30000,,,,
oyun-konsolu,Xbox Series X,🎮,45000,,,,
oyun-konsolu,Xbox Series S,🎮,38000,,,,
oyun-konsolu,Nintendo Switch,🎮,50000,,,Aile boyu Nintendo geceleri,aile;yilbasi
televizyon,Axen 101 Ekran,📺,9000,,,,
televizyon,TCL 109 Ekran,📺,15000,,,,
televizyon,Onvo 140 Ekran,📺,20000,,,,
televizyon,Samsung 109 Ekran Smart TV,📺,34000,,,Salona yeni televizyon,ev
televizyon,Samsung 139 Ekran,📺,36000,,,,
televizyon,Grundig 190 Ekran,📺,42000,,,,
televizyon,Samsung 165 Ekran,📺,44000,,,,
akilli-saat,Xiaomi Redmi Watch 5 Active,⌚,2000,,,,
akilli-saat,Apple Watch SE 3,⌚,12000,,,,
akilli-saat,Huawei Watch GT 6,⌚,13800,,,Eşime akıllı saat,es;sevgililer-gunu
akilli-saat,Apple Watch Series 11,⌚,22000,,,,
bilgisayar-tablet,Samsung Galaxy Tab A11 128 GB,📱,7300,,,,
bilgisayar-tablet,Xiaomi Redmi Pad 2 128 GB,📱,9000,,,Kızıma ders tableti,cocuk;okul
bilgisayar-tablet,Apple iPad A16 11" 128 GB,📱,20900,,,,
bilgisayar-tablet,HP OmniBook 5,💻,32000,,,Üniversiteye laptop,cocuk;okul
bilgisayar-tablet,Lenovo IdeaPad Slim 3,💻,35000,,,,
bilgisayar-tablet,Apple iPad A16 11" 512 GB,📱,37000,,,,
bilgisayar-tablet,Apple MacBook Air,💻,38000,,,,
bilgisayar-tablet,HP Omen,💻,60000,,,,
bilgisayar-tablet,Monster Tulpar,💻,64000,,,,
bilgisayar-tablet,Apple MacBook Pro,💻,106000,,,,
bilgisayar-tablet,Apple iPad Pro M5 (Hücresel),📱,150000,,,,
beyaz-esya,Hassas Mutfak Terazisi,⚖️,125,,kdv_only,,
beyaz-esya,Emsan Közde Türk Kahve Makinesi,☕,1400,,,Anneme közde kahve keyfi,anne;anneler-gunu
beyaz-esya,Arnica Blender Seti,🥤,1600,,,,
beyaz-esya,Philips Çay Makinesi,🫖,2000,,,,
beyaz-esya,Arzum Türk Kahve Makinesi,☕,2500,,,,
beyaz-esya,Xiaomi Air Fryer,🍟,2900,,,Eve airfryer,ev
beyaz-esya,Emsan 6'sı 1 Arada Mutfak Robotu,🥣,2900,,,,
beyaz-esya,Braun El Mikseri,🥣,4200,,,,
beyaz-esya,Philips Tost Makinesi,🥪,5200,,,,
beyaz-esya,Ninja Pro Blender,🥤,5400,,,,
beyaz-esya,Kumtel Turbo Fırın,🔥,6300,,,,
beyaz-esya,Bosch Mutfak Robotu,🥣,6800,,,Anneme mutfak robotu,anne;anneler-gunu
beyaz-esya,Hoover Ankastre Fırın,🔥,8100,,,,
beyaz-esya,Karaca 10'u 1 Arada Mutfak Robotu,🥣,10000,,,,
beyaz-esya,Ninja Dondurma Makinesi,🍦,13000,,,Çocuklara ev yapımı dondurma,cocuk;ev
beyaz-esya,Hoover 5 Programlı Bulaşık Makinesi,🍽️,14000,,,,
beyaz-esya,Altus 5 Programlı Bulaşık Makinesi,🍽️,14500,,,,
beyaz-esya,Electrolux Ankastre Fırın,🔥,15800,,,,
beyaz-esya,Altus Çamaşır Makinesi,🧺,16000,,,,
beyaz-esya,Regal 7 kg Çamaşır Makinesi,🧺,17000,,,,
beyaz-esya,Bosch 6 Programlı Bulaşık Makinesi,🍽️,18500,,,,
beyaz-esya,Ferre Ankastre Fırın,🔥,18800,,,,
beyaz-esya,Arçelik Bulaşık Makinesi,🍽️,19000,,,Anneme bulaşık makinesi,anne;anneler-gunu;ev
beyaz-esya,Hoover 10 kg Çamaşır Makinesi,🧺,20000,,,,
beyaz-esya,Beko Ocaklı Fırın,🔥,22900,,,,
beyaz-esya,Grundig Bulaşık Makinesi,🍽️,25000,,,,
beyaz-esya,Samsung 9 kg Çamaşır Makinesi,🧺,25200,,,,
beyaz-esya,Grundig Buzdolabı,🧊,25800,,,,
beyaz-esya,Beko Buzdolabı,🧊,26700,,,Yeni evimize buzdolabı,ev
beyaz-esya,Philips Tam Otomatik Espresso Makinesi,☕,26000,,,Eve espresso makinesi,ev;kendim
beyaz-esya,Arçelik 10 kg Kurutma Makinesi,🧺,28000,,,,
beyaz-esya,Arçelik Buzdolabı,🧊,28800,,,,
beyaz-esya,Profilo Buzdolabı,🧊,36700,,,,
beyaz-esya,Bosch Buzdolabı,🧊,40000,,,,
beyaz-esya,Bosch Alttan Donduruculu Buzdolabı,🧊,59000,,,,
kozmetik,Bargello Kadın Parfüm,🌸,600,,,,anne;es
kozmetik,Erkek Parfüm,🧴,800,,,Babama parfüm,baba;babalar-gunu
kozmetik,Braun Mini Tüy Dökücü,✨,1700,,otv67,,
kozmetik,Philips Erkek Bakım Seti,🪒,1900,,otv67,Babama bakım seti,baba;babalar-gunu
kozmetik,Yves Kadın Parfüm,🌸,2500,,,Anneme parfüm,anne;anneler-gunu
kozmetik,Versace Kadın Parfüm,🌸,2700,,,Eşime parfüm,es;sevgililer-gunu
akaryakit,40 Litre Benzin (~bir depo),⛽,2640,40,benzin_lt,Bir depo benzin,kendim
akaryakit,Aylık Yakıtım (~100 lt benzin),⛽,6600,100,benzin_lt,Bir aylık yakıtım,kendim
akaryakit,50 Litre Motorin (~bir depo),⛽,3650,50,motorin_lt,,
akaryakit,1 Yıllık Yakıtım (~1.200 lt benzin),⛽,79200,1200,benzin_lt,Bir yıllık yakıtım,kendim
saglik,Güneş Cilt Bakım Seti,🧴,800,,,,
saglik,Omron Dijital Tansiyon Aleti,🩺,1600,,,Babama tansiyon aleti,baba;babalar-gunu
saglik,Numaralı Gözlük,👓,4000,,,Yeni gözlüğüm,kendim
saglik,Standart Check-up,🏥,9000,,,Anneme babama check-up,anne;baba
saglik,Diş İmplantı,🦷,20000,,,,
kitap,Bir Kuzey Macerası,📕,37,,,,cocuk
kitap,Venedik Taciri,📕,63,,,,
kitap,Karamazov Kardeşler,📕,270,,,,kendim
kitap,İlyada,📕,287,,,,
kitap,Dünya Klasikleri Seti,📚,549,,,Bir raf dolusu klasik,kendim
kitap,Moby Dick,📕,670,,,,
kitap,Dünya Klasikleri Seti (Kutulu),📚,740,,,,
kitap,Çocuk Klasikleri (15 Kitap),📚,890,,,Yeğenime kitap seti,yegen;cocuk;dogum-gunu
kitap,Hasan Âli Yücel Klasikleri,📚,2700,,,,kendim
kitap,Çocuk Klasikleri (Büyük Set),📚,3200,,,Kızımın ilk kitaplığı,cocuk
kitap,Sefiller (Özel Kutulu Set),📚,6000,,,,
kultur-sanat,Tiyatro Bileti,🎭,200,,,,
kultur-sanat,Sinema Bileti,🎬,250,,,,
kultur-sanat,Tiyatro Bileti x2,🎭,400,,,Eşimle tiyatro gecesi,es;sevgililer-gunu
kultur-sanat,Resim-Heykel Atölyesi,🎨,450,,,,kendim
kultur-sanat,Sinema Bileti x2,🎬,500,,,,es
kultur-sanat,Tiyatro Bileti x4,🎭,800,,,Kuzenlerle tiyatro gecesi,aile
kultur-sanat,Özel Tiyatro Bileti,🎭,800,,,,
kultur-sanat,Çocuk Tiyatrosu x2,🎭,800,,,Kızımla çocuk tiyatrosu,cocuk
kultur-sanat,Sinema Bileti x4,🎬,1000,,,Ailecek sinema,aile
kultur-sanat,Festival Bileti,🎪,1000,,,,kendim
kultur-sanat,Özel Tiyatro Bileti x2,🎭,1600,,,,es
kultur-sanat,Konser Bileti,🎤,2500,,,,kendim
kultur-sanat,Özel Tiyatro Bileti x4,🎭,3200,,,,aile
kultur-sanat,Konser Bileti x2,🎤,5000,,,Sevdiğim sanatçıya eşimle konser,es;sevgililer-gunu;dogum-gunu
tatil,Kapadokya Turu 4 Gün x2,🎈,12000,,,Eşimle Kapadokya,es;sevgililer-gunu
tatil,Samos Adası 2 Gün,⛴️,18000,,,,kendim
tatil,Midilli Gemi Turu 3 Gün x2,⛴️,40000,,,,es
tatil,Büyük Balkan Turu 8 Gün x2,🌍,46000,,,Annemle Balkan turu,anne;anneler-gunu
tatil,Madrid-Barcelona Turu 6 Gün x2,✈️,70000,,,Hayalimizdeki İspanya turu,es
egitim,Online Bilgisayar Kursu,💻,1000,,,Kendime yazılım kursu,kendim;okul
egitim,Sürücü Kursu,🚦,15000,,,Oğluma ehliyet,cocuk
egitim,Dil Kursu,🗣️,50000,,,,kendim;okul
egitim,Üniversite Hazırlık Dershanesi,🎓,70000,,,Kızıma dershane,cocuk;okul
egitim,Malta'da 2 Ay İngilizce,🇲🇹,100000,,,,kendim
oyuncak,F1 Model Araç,🏎️,450,,,,cocuk
oyuncak,Pelüş Oyuncak,🧸,500,,,,cocuk
oyuncak,1:64 Testarossa Model Araba,🏎️,800,,,,cocuk;kendim
oyuncak,LEGO Seti,🧱,1300,,,Yeğenime LEGO seti,yegen;cocuk;yilbasi;dogum-gunu
oyuncak,Barbie Bebek,🎀,1400,,,Kızıma Barbie,cocuk;dogum-gunu
oyuncak,Eğitici Oyuncak,🧩,2100,,,,cocuk
oyuncak,Mandalorian Oyuncağı,🚀,2300,,,,cocuk;yilbasi
bagis,Yardım Kuruluşuna Bağış — 500 TL,❤️,500,,,İhtiyaç sahiplerine küçük bir destek,
bagis,Yardım Kuruluşuna Bağış — 1.000 TL,❤️,1000,,,,
bagis,Yardım Kuruluşuna Bağış — 5.000 TL,❤️,5000,,,Depremzede ailelere destek,
bagis,Yardım Kuruluşuna Bağış — 10.000 TL,❤️,10000,,,Bir öğrenciye burs desteği,
bagis,Yardım Kuruluşuna Bağış — 50.000 TL,❤️,50000,,,Köy okuluna kitaplık,
